"station_id","year","season","n_rain","R5mm","R10mm","R20mm","SDII","PRCPTOT","Rx1day","Rx5day","n_maxdy","n_mindy","FD","TR","SU","ID","TNn","TNx","TXn","TXx","DTR","TN10p","TN90p","TX10p","TX90p"
"BALLYHAISE",2022,"Spring",92,11,3,0,4.611,161.4,14.6,23.7,92,92,17,0,0,0,-4.441,12.46,6.386,19.45,8.622,NA,NA,NA,NA
"BALLYHAISE",2022,"Summer",92,13,5,0,5.517,160,17.2,40,92,92,0,0,6,0,4.893,16.95,13.17,30.77,8.071,NA,NA,NA,NA
"BALLYHAISE",2022,"Autumn",91,32,16,3,8.18,449.9,39.2,67.2,91,91,3,0,0,0,-0.753,14.09,6.849,20.27,6.356,NA,NA,NA,NA
"BALLYHAISE",2023,"Winter",90,13,3,1,5.262,194.7,29.9,53.5,90,90,25,0,0,3,-7.036,9.08,-3.054,13.81,5.523,NA,NA,NA,NA
"BALLYHAISE",2023,"Spring",92,21,5,0,6.148,258.2,18.5,38.3,92,92,12,0,0,0,-3.748,12.85,1.867,22.37,7.816,NA,NA,NA,NA
"BALLYHAISE",2023,"Summer",92,20,10,5,7.353,375,36,61.2,92,92,0,0,2,0,4.428,17.14,15.87,26.46,7.618,NA,NA,NA,NA
"BALLYHAISE",2023,"Autumn",91,25,11,3,6.768,338.4,22.2,49.2,91,91,6,0,3,0,-2.316,15.57,3.612,26.75,6.779,NA,NA,NA,NA
"BALLYHAISE",2024,"Winter",91,26,7,1,6.727,296,21,52,91,91,18,0,0,1,-6.137,10.73,-0.62,13.65,5.695,NA,NA,NA,NA
"BALLYHAISE",2024,"Spring",92,17,6,0,5.216,234.7,17.9,42.9,92,92,4,0,0,0,-1.217,12.2,4.958,22.52,7.362,NA,NA,NA,NA
"BELMULLET",1956,"Autumn",91,14,4,1,5.311,191.2,23.3,46.2,75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BELMULLET",1957,"Winter",90,36,14,2,7.091,460.9,24.2,56.5,90,90,6,0,0,0,-2.2,10.7,3.9,13.2,5.394,3.333,11.111,2.222,17.778
"BELMULLET",1957,"Spring",92,12,6,0,4.991,174.7,14.7,38.8,92,92,0,0,0,0,1.4,11.3,8.3,20.8,5.899,0,27.174,0,27.174
